customer_id,customer_city,customer_state_province,customer_country,birthdate,marital_status,yearly_income,gender,num_children_at_home,education,acct_open_date,member_card
1,Tlaxiaco,Oaxaca,Mexico,1961.08.26,M,$30K - $50K,F,2,Partial High School,1991.09.10,Bronze
2,Sooke,British Columbia,Canada,1915.07.03,S,$70K - $90K,M,0,Partial High School,1993.03.11,Bronze
3,Issaquah,Washington,USA,1910.06.21,M,$50K - $70K,F,1,Bachelors Degree,1991.06.11,Bronze
4,Burnaby,British Columbia,Canada,1969.06.20,M,$10K - $30K,M,4,Partial High School,1994.05.21,Normal
5,Novato,Washington,USA,1951.05.10,S,$30K - $50K,F,0,Partial College,1992.08.21,Silver
6,Lynnwood,Washington,USA,1942.10.08,S,$70K - $90K,F,0,Bachelors Degree,1992.04.05,Bronze
7,Tlaxiaco,Oaxaca,Mexico,1949.03.27,M,$30K - $50K,F,1,Partial High School,1991.05.01,Bronze
8,San Andres,Mexico DF,Mexico,1922.08.10,M,$50K - $70K,M,2,Bachelors Degree,1992.06.11,Bronze
9,Richmond,British Columbia,Canada,1979.06.23,M,$10K - $30K,M,3,Partial High School,1993.11.14,Normal
10,Lake Oswego,Oregon,USA,1949.08.26,S,$30K - $50K,M,0,Bachelors Degree,1993.05.04,Golden
11,La Mesa,Washington,USA,1967.06.20,S,$50K - $70K,M,0,High School Degree,1992.04.23,Bronze
12,Chula Vista,Washington,USA,1971.10.18,S,$30K - $50K,F,0,High School Degree,1991.07.06,Bronze
13,Mexico City,Mexico DF,Mexico,1975.10.12,S,$30K - $50K,M,0,High School Degree,1990.10.09,Bronze
14,Lincoln Acres,Washington,USA,1912.07.09,M,$50K - $70K,F,2,Bachelors Degree,1992.10.19,Bronze
15,Oak Bay,British Columbia,Canada,1941.11.05,S,$90K - $110K,M,0,Graduate Degree,1991.08.09,Bronze
16,Camacho,Zacatecas,Mexico,1919.06.02,M,$50K - $70K,F,2,High School Degree,1993.12.17,Bronze
17,Arcadia,Washington,USA,1928.03.20,S,$90K - $110K,M,0,High School Degree,1993.10.23,Bronze
18,Altadena,Washington,USA,1914.09.21,M,$30K - $50K,M,2,Partial College,1992.10.24,Bronze
19,Oakland,Washington,USA,1953.07.20,S,$70K - $90K,F,0,High School Degree,1992.09.21,Bronze
20,Spring Valley,Washington,USA,1974.04.16,S,$10K - $30K,F,0,Partial High School,1993.04.02,Normal
21,Renton,Washington,USA,1918.11.04,S,$30K - $50K,M,0,High School Degree,1992.04.26,Normal
22,Bellingham,Washington,USA,1947.10.07,M,$30K - $50K,F,4,High School Degree,1991.08.08,Golden
23,La Jolla,Washington,USA,1916.10.24,S,$30K - $50K,F,0,High School Degree,1992.08.12,Silver
24,Santa Fe,Mexico DF,Mexico,1921.12.04,S,$30K - $50K,F,0,High School Degree,1991.05.19,Bronze
25,Haney,British Columbia,Canada,1952.09.26,S,$70K - $90K,F,0,High School Degree,1991.11.18,Bronze
26,Burbank,Washington,USA,1954.08.25,S,$10K - $30K,M,0,Partial High School,1992.09.21,Normal
27,Anacortes,Washington,USA,1934.03.17,M,$30K - $50K,F,1,High School Degree,1991.10.21,Bronze
28,Everett,Washington,USA,1970.03.12,S,$10K - $30K,F,0,Partial High School,1993.09.28,Silver
29,Oak Bay,British Columbia,Canada,1937.10.04,S,$10K - $30K,F,0,Partial High School,1993.09.01,Normal
30,Milwaukie,Oregon,USA,1917.07.08,S,$50K - $70K,F,0,Bachelors Degree,1993.05.09,Bronze
31,Concord,Washington,USA,1978.07.02,M,$50K - $70K,F,3,Graduate Degree,1991.02.06,Golden
32,Ladner,British Columbia,Canada,1930.01.08,S,$10K - $30K,F,0,Partial High School,1991.06.23,Normal
33,Santa Cruz,Washington,USA,1971.07.23,M,$30K - $50K,F,2,High School Degree,1992.08.15,Bronze
34,La Mesa,Washington,USA,1919.10.21,M,$50K - $70K,F,1,Bachelors Degree,1990.02.27,Silver
35,Merida,Yucatan,Mexico,1920.04.17,M,$30K - $50K,M,1,Partial College,1992.09.21,Bronze
36,Oregon City,Oregon,USA,1915.11.22,S,$10K - $30K,M,0,Partial High School,1990.06.24,Normal
37,Seattle,Washington,USA,1961.04.06,S,$50K - $70K,M,0,Bachelors Degree,1992.06.02,Bronze
38,Arcadia,Washington,USA,1958.04.09,S,$30K - $50K,M,0,Partial College,1993.06.08,Bronze
39,Lebanon,Oregon,USA,1959.01.23,M,$90K - $110K,F,2,Graduate Degree,1992.03.10,Bronze
40,Santa Cruz,Washington,USA,1926.10.27,S,$110K - $130K,M,0,Partial College,1992.08.14,Bronze
41,W. Linn,Oregon,USA,1919.04.19,S,$110K - $130K,M,0,High School Degree,1990.10.10,Bronze
42,San Andres,Mexico DF,Mexico,1965.03.27,M,$70K - $90K,F,3,Bachelors Degree,1993.07.21,Golden
43,Burbank,Washington,USA,1977.05.16,S,$50K - $70K,F,0,Bachelors Degree,1993.03.19,Bronze
44,Bellflower,Washington,USA,1917.05.20,S,$30K - $50K,M,0,High School Degree,1992.01.07,Bronze
45,Renton,Washington,USA,1916.08.09,S,$50K - $70K,M,0,Bachelors Degree,1994.05.07,Golden
46,Mill Valley,Washington,USA,1928.02.10,M,$70K - $90K,F,1,Graduate Degree,1992.11.22,Silver
47,Oak Bay,British Columbia,Canada,1951.09.01,M,$50K - $70K,M,0,Bachelors Degree,1992.05.17,Bronze
48,Camacho,Zacatecas,Mexico,1927.10.17,M,$50K - $70K,M,0,Bachelors Degree,1994.05.04,Bronze
49,Arcadia,Washington,USA,1930.12.02,S,$30K - $50K,F,0,High School Degree,1992.04.20,Bronze
50,Altadena,Washington,USA,1922.03.09,S,$110K - $130K,M,0,Partial High School,1993.06.03,Bronze
51,Oakland,Washington,USA,1955.05.02,M,$90K - $110K,F,2,Graduate Degree,1993.12.05,Bronze
52,Tixapan,Mexico DF,Mexico,1912.09.04,S,$70K - $90K,F,0,Bachelors Degree,1994.03.19,Silver
53,Oak Bay,British Columbia,Canada,1932.12.24,M,$70K - $90K,M,2,Graduate Degree,1993.07.10,Normal
54,Metchosin,British Columbia,Canada,1961.09.24,S,$30K - $50K,F,0,Partial College,1992.07.24,Bronze
55,Grossmont,Washington,USA,1924.02.08,M,$10K - $30K,M,2,Partial High School,1992.03.10,Normal
56,Imperial Beach,Washington,USA,1935.11.21,S,$10K - $30K,M,0,Partial High School,1990.04.11,Normal
57,San Andres,Mexico DF,Mexico,1960.12.10,S,$10K - $30K,M,0,Partial High School,1991.05.15,Golden
58,Oakland,Washington,USA,1956.04.04,S,$30K - $50K,F,0,Partial High School,1992.11.24,Bronze
59,Burnaby,British Columbia,Canada,1942.06.01,M,$30K - $50K,M,5,High School Degree,1993.03.19,Bronze
60,Langley,British Columbia,Canada,1914.02.02,S,$30K - $50K,M,0,Partial College,1990.09.04,Silver
61,Tacoma,Washington,USA,1945.02.15,M,$70K - $90K,M,0,Bachelors Degree,1991.02.26,Bronze
62,Santa Monica,Washington,USA,1931.06.25,M,$30K - $50K,M,1,High School Degree,1991.05.12,Golden
63,Tlaxiaco,Oaxaca,Mexico,1916.10.13,S,$70K - $90K,F,0,Bachelors Degree,1992.06.04,Bronze
64,Beaverton,Oregon,USA,1932.08.13,S,$10K - $30K,M,0,Partial High School,1993.02.26,Normal
65,Metchosin,British Columbia,Canada,1979.09.07,M,$90K - $110K,F,0,Partial College,1990.11.23,Normal
66,Metchosin,British Columbia,Canada,1933.08.11,M,$110K - $130K,F,4,Partial College,1992.09.03,Silver
67,Westminster,British Columbia,Canada,1928.07.01,M,$30K - $50K,M,1,Partial College,1991.01.03,Bronze
68,Hidalgo,Zacatecas,Mexico,1917.07.27,S,$30K - $50K,F,0,High School Degree,1993.11.13,Silver
69,Los Angeles,Washington,USA,1969.06.17,M,$10K - $30K,M,1,Partial High School,1991.03.12,Normal
70,Coronado,Washington,USA,1972.03.26,M,$30K - $50K,M,0,High School Degree,1991.07.13,Bronze
71,La Cruz,Sinaloa,Mexico,1967.04.08,S,$10K - $30K,M,0,Partial High School,1990.11.20,Normal
72,Shawnee,British Columbia,Canada,1940.09.17,M,$10K - $30K,F,5,Partial High School,1992.12.03,Normal
73,Yakima,Washington,USA,1925.02.28,M,$30K - $50K,F,3,High School Degree,1992.10.07,Golden
74,Ballard,Washington,USA,1965.04.03,S,$50K - $70K,M,0,Bachelors Degree,1992.03.24,Bronze
75,Lynnwood,Washington,USA,1913.03.25,S,$30K - $50K,F,0,High School Degree,1990.03.17,Bronze
76,Port Orchard,Washington,USA,1917.06.23,S,$70K - $90K,F,0,High School Degree,1994.05.26,Normal
77,Downey,Washington,USA,1921.06.17,S,$50K - $70K,M,0,Bachelors Degree,1992.06.18,Normal
78,Salem,Oregon,USA,1940.06.24,M,$10K - $30K,M,1,Partial High School,1994.05.02,Silver
79,Tacoma,Washington,USA,1957.07.10,S,$70K - $90K,M,0,Bachelors Degree,1994.06.02,Bronze
80,Lemon Grove,Washington,USA,1946.04.18,S,$70K - $90K,F,0,Bachelors Degree,1992.11.11,Bronze
81,Milwaukie,Oregon,USA,1944.10.25,S,$10K - $30K,M,0,Partial High School,1990.05.05,Normal
82,Richmond,Washington,USA,1941.08.10,S,$10K - $30K,F,0,Partial High School,1993.03.23,Normal
83,Arcadia,Washington,USA,1969.03.24,S,$110K - $130K,F,0,Partial High School,1994.02.20,Golden
84,Haney,British Columbia,Canada,1932.03.05,S,$50K - $70K,M,0,Bachelors Degree,1994.08.27,Bronze
85,Novato,Washington,USA,1946.10.19,M,$30K - $50K,M,3,High School Degree,1993.08.24,Golden
86,Bremerton,Washington,USA,1911.03.25,S,$30K - $50K,M,0,Partial High School,1992.11.06,Normal
87,N. Vancouver,British Columbia,Canada,1949.04.15,S,$70K - $90K,F,0,High School Degree,1992.09.26,Bronze
88,Milwaukie,Oregon,USA,1943.02.11,S,$30K - $50K,F,0,High School Degree,1992.09.18,Bronze
89,Woodland Hills,Washington,USA,1974.10.06,S,$70K - $90K,F,0,High School Degree,1992.04.16,Bronze
90,Sooke,British Columbia,Canada,1976.10.05,M,$70K - $90K,F,2,High School Degree,1993.02.19,Bronze
91,Long Beach,Washington,USA,1956.04.24,M,$50K - $70K,M,1,Bachelors Degree,1990.12.20,Bronze
92,Arcadia,Washington,USA,1934.08.03,M,$30K - $50K,M,2,High School Degree,1993.05.07,Bronze
93,Woodburn,Oregon,USA,1970.03.22,M,$130K - $150K,M,4,Bachelors Degree,1993.05.08,Golden
94,Vancouver,British Columbia,Canada,1939.09.15,S,$10K - $30K,M,0,Partial High School,1993.12.15,Normal
95,Tlaxiaco,Oaxaca,Mexico,1930.09.09,S,$130K - $150K,F,0,Graduate Degree,1991.09.13,Silver
96,Beaverton,Oregon,USA,1951.03.15,S,$50K - $70K,M,0,Bachelors Degree,1990.10.18,Normal
